SURGE Kiosk Information,,,,,,,
,,,,,,,
,,,,,,,
Station,Project Name,Students,Advisors,Project Description,Student Photo,Advisor Photo,Project Photo
1,3D Optical Reflections - Darwyn,Darwyn Ward,Dr. Lawrence Owens,"Optics, the study of the behavior of electromagnetic radiation, primarily light, is a subject of physics with many applications. Generally, physics approaches problems involving reflections  the bending of light waves due to contact with a reflecting surface  from a two-dimensional perspective using geometry. However, reflection is a phenomenon that exists in three-dimensional space, thus relations should be established that can help solve reflection problems in three dimensions.",mock2.jpg,mock1.jpg,3-D Optical Reflectiosn- Darwyn Ward.jpg
2,3D Optical Reflections - Jose,Jose Guerrero,Dr. Larry Owens,"This research project is based on an observation. Thus the physical application of this project came before the mathematics. The observation was that when a block of wood is sawed, if an edge of the block when looked at through the reflective side of the saw appears to continue without distortion through the plane of the saw, then the edge of the block and the plane of the saw are orthogonal.",white_T.jpg,SamJack.jpg,3-D Optical Revolution - Jose Barajas Guerro.jpg
3,How Diabetes Can Be Diagnosed Using A1C Testing,"Amy Quach, Grace Park",Nina Cano,"Diabetes, the fifth leading cause of death in developed countries, affects more than 9.4% of the American population due to its ability to damage most of the body's essential organs, leading to an increased risk in strokes, heart diseases, and peripheral vascular diseases.",mock2.jpg,mock1.jpg,A1C SURGE Presentation.jpg
4,The Science Behind Diagnosing Rheumatic Disease,Alec Cano,Nina Cano,"Identification of the antinuclear antibody (ANA) pattern is crucial in diagnosing systemic rheumatic diseases such as Lupus, Sjogren's Syndrome, and Sclerodrema. ANA patters give the physician insight into which autoantibodies are present. Autoantibodies precede the onset of disease, often by many years.",mock2.jpg,mock1.jpg,ANA SURGE Presentation-Alec Cano.jpg
5,Effectiveness of Different Valley Fever Tests,Samantha Wallace,"Nina Campos, Duane Goodwin","Valley Fever, otherwise known as acute coccidioidomycosis , is a fungal infection caused by coccidioides, which are commonly found in soil in specific regions. These coccidioides can be released by construction, wind, and farming. Whhen a person breathes these fungi in, they contract the illness.",mock2.jpg,happy.png,CLS -Samantha Wallace.jpg
6,Blood Bank,"HyoJin Kim, Lizbeth Garcia, Carlos Zurita",Eric Heatherington,"Blood Bank Centers collect blood from doners at their respective locations or at blood drives. Each unit of donated blood (whole blood) is separated into components: packed red blood cells, plasma, and platelets. Donated blood is tested for ABO blood group type and Rh type.",mock2.jpg,mock1.jpg,CLS poster-HyoJin.jpg
7,Facilities Checkout,"Cory Lewis, Gerald Jumper, Paul Gonzalez-Becerra, Alexis Contreras",Ahsen Baig,Develop a program that streamlines checking out a vehicle and returnign a vehicle in the Facilities office on campus.,mock2.jpg,mock1.jpg,Facilities Checkout Poster-Cory Lewis.jpg
8,Ferns and Fern Allies at SCICON,"Skylr Lopez, Saul Estrada, Matthew Deuser, Anna Aparicio, Andrew Pacheco","Dr. Robert Urtecho, Kathryn Torres","SCICON is a property that ranges in elevation between 1800ft and 3000ft. After three years of our own research at SCICON, and past documentations of the vegetation at SCICON, we are now able to provide a in depth description analysis of the ferns lifestyle and the importance of ferns and their allies.",mock2.jpg,mock1.jpg,Ferns and Fern Allies at SCICON.jpg
9,Graphicus Maximus,"Paul Gonzalez-Becerra, Cory Lewis, Aaron Johnson, Jorge Aguilar",John Redden,Graphicus Maximus is a mobile friendly function graphing app with important notes optimized for community college mathematics.,mock2.jpg,mock1.jpg,Graphicus Maximus Poster-Corey Lewis.jpg
10,Local Groundwater Recovery Patterns After Droughts,"Hunter Tidd, Matthew Deuser, Dustin White",Dr. Eric Hetherington,On the graphs above we see 'mounds' in the water table forming beneath the major rivers indicating recharge of ground water at these locations. Why do mounds occur underneath rivers?,mock2.jpg,mock1.jpg,Groundwater Recharge After Drought Years-.jpg
